Title,Type,Author,Publisher,ISBN,P_Year,Access_Type
"Electrical Engineering: Principles and Applications",P,Allan R. Hambley,Prentice Hall,9780134484143,2018,S
"Fundamentals of Electric Circuits",P,Charles K. Alexander and Matthew N.O. Sadiku,McGraw-Hill Education,9780078028225,2018,O
"Microelectronic Circuits",P,A. Sedra and K. Smith,Oxford University Press,9780199339135,2015,S
"Linear Algebra and Its Applications",P,David C. Lay,Pearson,9780321982384,2015,O
"Electrical Machinery",P,Stephen J. Chapman,McGraw-Hill Education,9781259641782,2018,S
"Introduction to Electrodynamics",P,David J. Griffiths,Cambridge University Press,9781108420419,2017,O
"Signals and Systems",P,Alan Oppenheim,Alan Willsky, and S. Hamid Nawab,Prentice Hall,9780138147570,2016,S
"Digital Design",P,John F. Wakerly, Pearson,9780135204646,2018,O
"Power System Analysis",P,John J. Grainger and William D. Stevenson,McGraw-Hill Education,9780070612931,1994,S
"Control Systems Engineering",P,Norman S. Nise,Wiley,9781119490694,2018,O
"Electronics: Fundamentals and Applications",P,David M. Pozar,John Wiley & Sons,9780470541819,2011,S
"Electrical Engineering: An Introduction",P,Richard C. Dorf and James A. Svoboda,John Wiley & Sons,9780471401174,2004,O
"Principles of Electric Machines and Power Electronics",P,ubbi C. Patel,CRC Press,9781138098658,2018,S
"Electrical and Electronic Measurements and Instrumentation",P,Alok Jain,Khanna Publishers,9788174091633,2018,O
"Electromagnetic Field Theory",P,Guillaume J. Salzer,Springer,9783642263931,2012,S
"Electronic Devices and Circuit Theory",P,Robert L. Boylestad and Louis Nashelsky,Pearson,9780134801601,2016,O
"Power Electronics: Converters, Applications, and Design",P,Ned Mohan,Undeland, and Robbins,Wiley,9780471226938,2002,S
"Analog Electronics",P,David A. Bell,Oxford University Press,9780199212728,2008,O
"Electric Power Systems: A Conceptual Introduction",P,Allan Greenwood,Elsevier,9780123725162,2007,S
"Communication Systems",P,Simon Haykin,Wiley,9780471694445,2008,O
"Fundamentals of Electrical Engineering",P,Leonard S. Bobrow,Oxford University Press,9780199251222,2013,S
"Introduction to Electric Circuits",P,Ricardo G. Carvalho,John Wiley & Sons,9780470375568,2008,O
"Power System Dynamics: Stability and Control",P,K.R. Padiyar,BS Publications,9788185735321,2010,S
"Applied Electronics",P,John L. Hilburn,Prentice Hall,9780135034520,2009,O
"Introduction to Semiconductor Devices",P,Michael S. Shur,Springer,9780387351532,2006,S
"Electric Machinery and Transformers",P,Guru and Hiziroglu,Oxford University Press,9780195165472,2008,O
"Digital Electronics: Principles and Applications",P,Anil K. Maini, Wiley,9781118385427,2014,S
"Integrated Electronics: Analog and Digital Circuits and Systems",P,Jacob Millman and Christos C. Halkias,McGraw-Hill Education,9780070322165,2001,O
"Advanced Electrical Engineering",P,Robert C. Dugan,McGraw-Hill Education,9780078025330,2017,S
"Fundamentals of Electric Drives",P,G. K. Dubey,Prentice Hall,9780135916361,2002,O
"Electrical Power Systems Technology",P,Stephen W. Fardo,Prentice Hall,9780131014084,2007,S
"Power System Analysis and Design",P,Arthur R. Bergen and Vijay Vittal,CL Engineering,9780495667751,2009,O
"Electric Circuit Analysis",P,David E. Johnson,Prentice Hall,9780133258667,2005,S
"Introduction to Electrical Engineering",P,John D. Irwin and R. Mark Nelms,Wiley,9781119450662,2017,O
"Electric Power Systems: Analysis and Control",P,Arthur R. Bergen,John Wiley & Sons,9780470057562,2005,S
"Digital Logic Design",P,Barry J. Brey,Prentice Hall,9780131485496,2005,O
"Electricity and Electronics for Engineers",P,Frank Petruzella,McGraw-Hill Education,9780078022186,2013,S
"Fundamentals of Electrical Engineering",P,William D. Stanley,McGraw-Hill Education,9780071732430,2010,O
"Control Systems: Principles and Design",P,B. C. Kuo,Academic Press,9780123735918,2018,S
"Electrical Engineering: Concepts and Applications",P,John A. Duffield,Prentice Hall,9780135087061,2008,O
"Power Systems Engineering",P,Albert C. Muravov,McGraw-Hill Education,9780070488312,2002,S
"Electrical Engineering: Know It All",P,Clive Maxfield and John Bird,Butterworth-Heinemann,9781856175153,2009,O
