Title,Type,Author,Publisher,ISBN,P_Year,Access_Type
Pride and Prejudice,P,Jane Austen,Penguin Classics,9780141439518,2002,O
To Kill a Mockingbird,E,Harper Lee,HarperCollins,9780060935467,2006,S
1984,P,George Orwell,Penguin Books,9780141036144,2008,O
The Great Gatsby,P,F. Scott Fitzgerald,Scribner,9780743273565,2004,O
Moby-Dick,E,Herman Melville,Penguin Classics,9780142437247,2002,S
Crime and Punishment,P,Fyodor Dostoevsky,Penguin Classics,9780140449136,2002,O
War and Peace,E,Leo Tolstoy,Penguin Classics,9780140447934,2007,S
Ulysses,P,James Joyce,Oxford University Press,9780199535675,2008,O
The Odyssey,P,Homer,Penguin Classics,9780140268867,2003,O
The Divine Comedy,E,Dante Alighieri,Penguin Classics,9780140448955,2003,S
Hamlet,P,William Shakespeare,Penguin Classics,9780141396507,2015,O
Wuthering Heights,E,Emily Brontë,Penguin Classics,9780141439556,2003,S
The Catcher in the Rye,P,J.D. Salinger,"Little, Brown and Company",9780316769488,1991,O
Don Quixote,P,Miguel de Cervantes,Penguin Classics,9780142437230,2003,O
The Brothers Karamazov,E,Fyodor Dostoevsky,Penguin Classics,9780140449242,2003,S
Jane Eyre,P,Charlotte Brontë,Penguin Classics,9780141441146,2006,O
Brave New World,P,Aldous Huxley,Harper Perennial,9780060850524,2006,O
The Iliad,E,Homer,Penguin Classics,9780140447941,2003,S
The Count of Monte Cristo,P,Alexandre Dumas,Penguin Classics,9780140449266,2003,O
Madame Bovary,P,Gustave Flaubert,Penguin Classics,9780140449129,2003,O
Anna Karenina,E,Leo Tolstoy,Penguin Classics,9780143035008,2004,S
The Aeneid,P,Virgil,Penguin Classics,9780140449327,2003,O
Heart of Darkness,E,Joseph Conrad,Penguin Classics,9780141441672,2007,S
One Hundred Years of Solitude,P,Gabriel García Márquez,Harper Perennial,9780060883287,2006,O
The Picture of Dorian Gray,P,Oscar Wilde,Penguin Classics,9780141439570,2003,O
Great Expectations,E,Charles Dickens,Penguin Classics,9780141439563,2003,S
The Metamorphosis,P,Franz Kafka,Penguin Classics,9780143105244,2014,O
Lolita,E,Vladimir Nabokov,Penguin Classics,9780141182537,2000,S
Beloved,P,Toni Morrison,Vintage,9781400033416,2004,O
Dracula,P,Bram Stoker,Penguin Classics,9780141439846,2003,O
The Stranger,E,Albert Camus,Vintage,9780679720201,1989,S
Catch-22,P,Joseph Heller,Simon & Schuster,9781451626650,2011,O
The Sound and the Fury,E,William Faulkner,Vintage,9780679732242,1990,S
The Sun Also Rises,P,Ernest Hemingway,Scribner,9780743297332,2006,O
Invisible Man,E,Ralph Ellison,Vintage,9780679732761,1995,S
Middlemarch,P,George Eliot,Penguin Classics,9780141439549,2003,O
Mansfield Park,P,Jane Austen,Penguin Classics,9780141439808,2003,O
The Canterbury Tales,E,Geoffrey Chaucer,Penguin Classics,9780140424386,2003,S
Frankenstein,P,Mary Shelley,Penguin Classics,9780141439471,2003,O
Of Mice and Men,E,John Steinbeck,Penguin Classics,9780142000670,2002,S
