Title,Type,Author,Publisher,ISBN,P_Year,Access_Type
Engineering Mechanics,P,"J.L. Meriam, L.G. Kraige",Wiley,9781118885840,2016,O
Mechanics of Materials,P,R.C. Hibbeler,Pearson,9780134319650,2016,O
Fluid Mechanics,E,Frank M. White,McGraw-Hill Education,9780073398273,2015,S
Thermodynamics: An Engineering Approach,P,"Yunus A. Cengel, Michael A. Boles",McGraw-Hill Education,9780073398174,2014,O
Mechanical Engineering Design,P,"J.E. Shigley, R.G. Budynas",McGraw-Hill Education,9780073398204,2015,O
Introduction to Robotics: Mechanics and Control,E,John J. Craig,Pearson,9780133489798,2017,S
Heat Transfer,P,J.P. Holman,McGraw-Hill Education,9780073522630,2010,O
Control Systems Engineering,E,Norman S. Nise,Wiley,9781118170519,2011,S
Engineering Vibrations,P,Daniel J. Inman,Pearson,9780132871693,2013,O
Kinematics and Dynamics of Machinery,P,"Charles E. Wilson, J. Peter Sadler",Pearson,9780133125931,2014,O
Engineering Thermodynamics,E,"Gordon Rogers, Yon Mayhew",Pearson,9780582022114,2017,S
Engineering Materials: Properties and Applications of Metals and Alloys,P,"K.G. Budinski, M.K. Budinski",Pearson,9780137128426,2009,O
Manufacturing Processes for Engineering Materials,P,"Serope Kalpakjian, Steven Schmid",Pearson,9780134290553,2017,O
Mechanics of Composite Materials,E,Robert M. Jones,Taylor & Francis,9781560327127,2014,S
Machine Design: An Integrated Approach,P,Robert L. Norton,Pearson,9780133356717,2014,O
Engineering Mechanics: Dynamics,P,"J.L. Meriam, L.G. Kraige",Wiley,9781118885842,2012,O
Mechanics of Materials,E,"Ferdinand P. Beer, E. Russell Johnston Jr.",McGraw-Hill Education,9780073380285,2014,S
Principles of Heat Transfer,P,Frank Kreith,Cengage Learning,9781133112194,2012,O
Introduction to Fluid Mechanics,E,"Robert W. Fox, Alan T. McDonald",Wiley,9781118476330,2015,S
Fundamentals of Thermodynamics,P,"Richard E. Sonntag, Claus Borgnakke",Wiley,9781118321772,2012,O
Advanced Mechanics of Materials,E,"Arthur P. Boresi, Richard J. Schmidt",Wiley,9780471438816,2014,S
Engineering Mechanics: Statics,P,"J.L. Meriam, L.G. Kraige",Wiley,9781118886142,2013,O
Mechanical Vibrations,E,S. S. Rao,Pearson,9780132128193,2017,S
Introduction to the Thermodynamics of Materials,P,David R. Gaskell,Taylor & Francis,9781498757003,2017,O
Design of Machinery,P,Robert L. Norton,McGraw-Hill Education,9780073529355,2011,O
Machine Elements in Mechanical Design,E,Robert L. Mott,Pearson,9780135077931,2013,S
Vibration Analysis with SolidWorks Simulation,P,Paul Kurowski,SDC Publications,9781585037632,2012,O
Engineering Mechanics: Dynamics,E,"Andrew Pytel, Jaan Kiusalaas",Cengage Learning,9781305579223,2016,S
Fundamentals of Fluid Mechanics,P,Bruce R. Munson,Wiley,9781118416455,2012,O
Theory of Machines and Mechanisms,E,"John J. Uicker, Gordon R. Pennock",Oxford University Press,9780195371239,2016,S
