Title,Type,Author,Publisher,ISBN,P_Year,Access_Type
"Introduction to Sociology",P,Anthony Giddens,PoliPoint,9780393934302,2021,S
"Sociology: A Brief Introduction",P,Richard T. Schaefer,McGraw-Hill Education,9781260460666,2020,O
"Society: The Basics",P,John J. Macionis,Prentice Hall,9780134206327,2019,S
"Essentials of Sociology",P,James M. Henslin,Allyn & Bacon,9780134553782,2020,O
"Handbook of Sociology",P,J. Scott and J. Marshall,Oxford University Press,9780199271695,2020,S
"Sociological Theory",P,George Ritzer,McGraw-Hill Education,9781544338582,2022,O
"The Sociological Imagination",P,C. Wright Mills,Oxford University Press,9780195133731,2000,S
"Modern Sociological Theory",P,George Ritzer,McGraw-Hill Education,9780078026740,2011,O
"Globalization and Its Discontents",P,Joseph E. Stiglitz,W.W. Norton & Company,9780393330552,2002,S
"Social Problems",P,Dona Schneider and Robert F. Meier,McGraw-Hill Education,9780078035422,2018,O
"Classical Sociological Theory",P,George Ritzer,McGraw-Hill Education,9780078027013,2009,S
"Race, Class, and Gender in the United States",P,Paula S. Rothenberg,Worth Publishers,9781319059947,2021,O
"Contemporary Sociological Theory and Its Classical Roots",P,George Ritzer and Jeffrey Stepnisky,SAGE Publications,9781506376162,2018,S
"Introduction to Social Research",P,Keith F. Punch,SAGE Publications,9781446204291,2013,O
"Social Research Methods",P,Alan Bryman,Oxford University Press,9780199689453,2015,S
"Gender and Society",P,Esther Ngan-Ling Chow and Nancy C. M. Hsiung,PoliPoint,9780520259464,2007,O
"The Sociology of Gender",P,Judy Wacjman,PoliPoint,9780745644990,2014,S
"Understanding Social Inequality",P,David J. Harding,Palgrave Macmillan,9780230574728,2007,O
"Social Theory: A Very Short Introduction",P,Patrick Baert and Mike Gibbons,Oxford University Press,9780192853556,2006,S
"Modernity and Self-Identity",P,Anthony Giddens,Stanford University Press,9780804722584,1991,O
"Sociology of Deviant Behavior",P,Marshall B. Clinard and Robert F. Meier,Cengage Learning,9781133190456,2015,S
"The Urban Sociology Reader",P,Janet Fink and Susan Saegert,Routledge,9780367337667,2020,O
"Families and Family Therapy",P,Salvador Minuchin,Harvard University Press,9780674010390,1974,S
"Introduction to Community Psychology",P,James S. Carlson,McGraw-Hill Education,9780077592135,2018,O
"Social Movements: An Introduction",P,Donatella della Porta and Mario Diani,Blackwell Publishing,9781405151423,2006,S
"Sociology of Education",P,Jeffrey A. Raffel and Barbara J. Rhoades,PoliPoint,9780470670938,2007,O
